,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
condorman,18,28,4,0.6086956521739131
200_cigarettes,18,28,4,0.6086956521739131
knights_of_the_city,18,28,4,0.6086956521739131
samson,17,26,7,0.6046511627906976
transit,17,26,7,0.6046511627906976
the_gendarme_in_new_york,19,29,2,0.6041666666666666
dust_be_my_destiny,19,29,2,0.6041666666666666
ask_a_policeman,19,29,2,0.6041666666666666
tangled,20,29,1,0.5918367346938775
khumba,18,26,6,0.5909090909090909
spider_forest,19,27,4,0.5869565217391305
aayirathil_oruvan,20,28,2,0.5833333333333334
wing_and_a_prayer,20,28,2,0.5833333333333334
the_thrill_killers,20,28,2,0.5833333333333334
the_belles_of_st_trinians,20,28,2,0.5833333333333334
my_neighbor_totoro,18,25,7,0.5813953488372093
hollow_triumph,18,25,7,0.5813953488372093
the_vulture,21,29,0,0.58
the_lincoln_lawyer,20,27,3,0.574468085106383
the_addams_family,20,27,3,0.574468085106383
gamera_vs_viras,20,27,3,0.574468085106383
traffic,20,27,3,0.574468085106383
dead_alive,21,28,1,0.5714285714285714
mimic_2,21,28,1,0.5714285714285714
mad_hot_ballroom,18,24,8,0.5714285714285714
majunu,21,28,1,0.5714285714285714
high_on_crack_street_lost_lives_,19,25,6,0.5681818181818182
the_chaser,19,25,6,0.5681818181818182
ticket_to_heaven,19,25,6,0.5681818181818182
maduve_mane,19,25,6,0.5681818181818182
wheres_firuze,20,26,4,0.5652173913043478
poochakkoru_mookkuthi,20,26,4,0.5652173913043478
baran,20,26,4,0.5652173913043478
devils_diary,20,26,4,0.5652173913043478
barefoot_in_the_park,18,23,9,0.5609756097560976
black_belt_jones,22,28,0,0.56
the_trap,20,25,5,0.5555555555555556
igby_goes_down,20,25,5,0.5555555555555556
das_experiment,21,26,3,0.5531914893617021
aage_se_right,22,27,1,0.5510204081632653
streets_of_fire,21,25,4,0.5434782608695652
mice_follies,21,25,4,0.5434782608695652
til_there_was_you,22,26,2,0.5416666666666666
the_super_dimension_fortress_mac,22,26,2,0.5416666666666666
the_elementary_school,20,23,7,0.5348837209302325
seven_men_from_now,20,23,7,0.5348837209302325
up_in_the_air,21,24,5,0.5333333333333333
my_girl_and_i,21,24,5,0.5333333333333333
street_fighter_alpha,23,26,1,0.5306122448979592
gattaca,21,23,6,0.5227272727272727
small_town_story,22,24,4,0.5217391304347826
winchester_73,22,24,4,0.5217391304347826
bartok_the_magnificent,23,25,2,0.5208333333333334
gratefulness,22,23,5,0.5111111111111111
padagotti,22,23,5,0.5111111111111111
the_damned,23,24,3,0.5106382978723404
the_fairhaired_hare,24,25,1,0.5102040816326531
redemption_kickboxer_5,24,25,1,0.5102040816326531
toh_baat_pakki,24,25,1,0.5102040816326531
the_killing_jar,23,23,4,0.5
amistad,24,24,2,0.5
children_of_the_corn_iii_urban_h,25,25,0,0.5
spacecamp,23,23,4,0.5
tolable_david,23,23,4,0.5
camerons_closet,23,23,4,0.5
click,24,24,2,0.5
funny_about_love,25,24,1,0.4897959183673469
table_for_five,25,24,1,0.4897959183673469
salt_water_tabby,24,23,3,0.48936170212765956
the_infidel,24,23,3,0.48936170212765956
brassed_off,24,23,3,0.48936170212765956
blood_reign_curse_of_the_yoma,23,22,5,0.4888888888888889
murder_he_says,23,22,5,0.4888888888888889
flashbacks_of_a_fool,23,22,5,0.4888888888888889
rudraveena,25,23,2,0.4791666666666667
the_trial,24,22,4,0.4782608695652174
a_matter_of_time,24,22,4,0.4782608695652174
expresso,24,22,4,0.4782608695652174
run_fat_boy_run,23,21,6,0.4772727272727273
little_quacker,25,22,3,0.46808510638297873
goofs_and_saddles,25,22,3,0.46808510638297873
shaolin_chamber_of_death,26,22,2,0.4583333333333333
the_smashing_bird_i_used_to_know,26,22,2,0.4583333333333333
leatherheads,26,22,2,0.4583333333333333
viva_max,25,21,4,0.45652173913043476
there_they_gogogo,24,20,6,0.45454545454545453
lucky_no_time_for_love,24,20,6,0.45454545454545453
anantana_avantara,26,21,3,0.44680851063829785
once_upon_a_time_in_china_ii,26,21,3,0.44680851063829785
a_better_tomorrow_2,26,21,3,0.44680851063829785
daffy_duck_slept_here,28,22,0,0.44
night_of_the_demons_2,27,21,2,0.4375
arena,27,21,2,0.4375
roots_the_gift,27,20,3,0.425531914893617
fear_in_the_night,28,20,2,0.4166666666666667
isi_life_mein,28,20,2,0.4166666666666667
the_perfect_circle,28,20,2,0.4166666666666667
back_to_the_woods,26,18,6,0.4090909090909091
your_mother_wears_combat_boots,28,19,3,0.40425531914893614
luna_de_miel,27,18,5,0.4
peewees_big_adventure,27,17,6,0.38636363636363635
halloweentown_high,29,18,3,0.3829787234042553
our_gang_follies_of_1938,29,18,3,0.3829787234042553
operation_rabbit,28,16,6,0.36363636363636365
satan_in_high_heels,30,17,3,0.3617021276595745
critters_2_the_main_course,31,17,2,0.3541666666666667
christmas_story,31,13,6,0.29545454545454547
jewel,31,13,6,0.29545454545454547
